%OpenBCI Raw EXG Data\n%Number of channels = 16\n%Sample Rate = 125.0 Hz\n%Board = LSL_Stream\nSample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2025-05-31 12:09:59.253840,T0
2,-78.9800033569336,-70.55999755859375,-161.39999389648438,-138.6999969482422,-109.69999694824219,-144.10000610351562,-128.3000030517578,-13.8100004196167,-40.15999984741211,-37.459999084472656,-32.40999984741211,-60.5099983215332,-71.05999755859375,-34.790000915527344,-36.380001068115234,-56.52000045776367,0,0,0,0,0,0,0,0,0,0,0,0,0,4.035931,0,2025-05-31 12:10:03.289771,
3,-92.02999877929688,-90.66999816894531,-175.5,-148.6999969482422,-134.10000610351562,-160.1999969482422,-146.1999969482422,-6.982999801635742,-77.05000305175781,-36.279998779296875,-53.16999816894531,-80.41000366210938,-77.06999969482422,-38.52000045776367,-55.91999816894531,-58.95000076293945,0,0,0,0,0,0,0,0,0,0,0,0,0,4.035931,0,2025-05-31 12:10:03.289771,
4,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.035931,0,2025-05-31 12:10:03.289771,
5,-37.70000076293945,-42.869998931884766,-95.7300033569336,-71.36000061035156,-68.01000213623047,-69.69000244140625,-66.38999938964844,-52.66999816894531,-90.0999984741211,22.260000228881836,-34.119998931884766,-39.619998931884766,-22.610000610351562,-19.399999618530273,13.300000190734863,8.071000099182129,0,0,0,0,0,0,0,0,0,0,0,0,0,4.035931,0,2025-05-31 12:10:03.289771,
6,-64.08999633789062,-48.720001220703125,-102.0,-80.58000183105469,-81.87000274658203,-80.95999908447266,-84.25,-52.2599983215332,-72.11000061035156,15.699999809265137,-35.099998474121094,-37.279998779296875,-13.300000190734863,-9.833999633789062,10.489999771118164,8.642999649047852,0,0,0,0,0,0,0,0,0,0,0,0,0,4.035931,0,2025-05-31 12:10:03.289771,
7,-66.97000122070312,-58.06999969482422,-82.9000015258789,-76.54000091552734,-70.54000091552734,-75.93000030517578,-80.51000213623047,-38.849998474121094,-59.25,2.302000045776367,-36.029998779296875,-33.970001220703125,-8.392000198364258,-9.67300033569336,-11.59000015258789,2.6570000648498535,0,0,0,0,0,0,0,0,0,0,0,0,0,4.126687,0,2025-05-31 12:10:03.380527,
8,-48.59000015258789,-61.529998779296875,-74.69000244140625,-78.2300033569336,-61.33000183105469,-66.19999694824219,-71.87999725341797,-48.22999954223633,-82.05000305175781,-5.499000072479248,-43.310001373291016,-37.7599983215332,-13.649999618530273,-23.65999984741211,-26.700000762939453,4.764999866485596,0,0,0,0,0,0,0,0,0,0,0,0,0,4.126687,0,2025-05-31 12:10:03.380527,
9,-45.5,-50.650001525878906,-77.77999877929688,-86.91999816894531,-67.08999633789062,-60.11000061035156,-72.37999725341797,-74.66000366210938,-83.12999725341797,4.47599983215332,-56.150001525878906,-44.68000030517578,-25.81999969482422,-38.27000045776367,-33.83000183105469,4.077000141143799,0,0,0,0,0,0,0,0,0,0,0,0,0,4.126687,0,2025-05-31 12:10:03.380527,
10,-61.279998779296875,-54.5099983215332,-93.91999816894531,-102.4000015258789,-81.7699966430664,-66.13999938964844,-78.08999633789062,-85.61000061035156,-83.27999877929688,32.83000183105469,-53.38999938964844,-36.209999084472656,-19.780000686645508,-23.579999923706055,-32.959999084472656,8.399999618530273,0,0,0,0,0,0,0,0,0,0,0,0,0,4.126687,0,2025-05-31 12:10:03.380527,
11,-38.7400016784668,-33.40999984741211,-69.87000274658203,-71.11000061035156,-60.279998779296875,-34.06999969482422,-43.61000061035156,-49.220001220703125,-57.709999084472656,37.040000915527344,5.681000232696533,19.40999984741211,34.47999954223633,41.40999984741211,9.265999794006348,61.470001220703125,0,0,0,0,0,0,0,0,0,0,0,0,0,4.126687,0,2025-05-31 12:10:03.380527,
12,9.734999656677246,9.293999671936035,-27.350000381469727,-18.649999618530273,-21.940000534057617,3.305000066757202,-7.763000011444092,-14.380000114440918,-6.9120001792907715,22.610000610351562,52.06999969482422,48.63999938964844,54.130001068115234,63.310001373291016,62.88999938964844,121.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.170747,0,2025-05-31 12:10:03.424587,
13,12.020000457763672,-0.38449999690055847,-39.25,-19.829999923706055,-26.020000457763672,-19.239999771118164,-29.739999771118164,-33.810001373291016,-18.1299991607666,28.790000915527344,36.4900016784668,19.079999923706055,14.170000076293945,12.020000457763672,69.41000366210938,112.5999984741211,0,0,0,0,0,0,0,0,0,0,0,0,0,4.170747,0,2025-05-31 12:10:03.424587,
